ID,Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
62169,139,591,1861,2471,41,2,0,5,0,411,618,2065,2017,3,2,70,89,44,39,54,15,20,-0.4433186000305053,-0.4023761610732245,0.2212326109289259,0.3017109228309773,85,1,1.3346517778620024,0.7478390719303184,-0.4273188594461597
84112,71,971,4336,4857,41,2,1,7,3,297,896,1114,1113,2,1,59,56,12,15,49,10,30,2.9182025575957606,1.2344698233471676,-0.385691576571479,-0.1440022659988246,11,1,-1.2385519651953991,-1.0250822813428544,1.4754512401085174
12764,72,1236,2831,6719,26,2,1,7,0,764,896,294,293,2,1,59,56,12,15,49,10,30,-0.1416202464097191,-0.0010892968574919,-0.2080873165009125,-0.0615758543659159,11,0,1.2678239100171071,1.3592088454634028,0.0367817615132289
45,67,1236,442,3489,37,2,0,5,0,764,895,34,34,2,1,13,145,74,15,19,10,60,-0.0416036701638485,-0.2804023487011314,-0.4003822993180568,-0.1684249064826493,11,1,-1.3847792799847247,0.1849097725303809,-0.4718471320812163
30226,73,1230,529,776,26,2,0,5,0,479,608,1345,1343,3,2,50,70,27,11,54,15,100,-0.3205460045638583,0.817751506825765,1.2737023002359866,0.0574845179927294,9,1,-1.3715460388273195,-0.2133219148168575,0.7750253519457325
79232,64,639,2215,3182,30,2,0,1,0,582,820,828,827,2,1,46,117,61,15,32,11,30,1.342841565063709,1.8296872163554976,-0.2403192007359413,-0.0768400046683065,65,1,0.1079303225705591,0.3674538750531867,2.655480783779528
85753,107,935,4394,4678,28,2,1,7,1,243,896,1023,1022,2,1,59,175,84,15,33,10,30,-0.4540346617711344,-0.4536253461607816,-0.3363570598852106,-0.1195796255149998,65,1,0.3719334836607887,-1.7384320004194058,-0.4684312092145233
52241,66,1000,126,272,40,2,0,5,0,361,451,1133,1132,2,1,28,175,84,15,33,10,30,-0.2081397625292881,-0.2828194051606004,-0.3488551374457319,-0.125685285635956,39,1,0.3348804084200548,0.4485279317602429,-0.2717427748015704
43834,134,493,1557,2102,27,2,0,5,0,626,782,1908,1871,2,1,46,58,13,15,46,11,30,0.2704610368890142,0.4301767714520402,-0.2501861040731949,-0.0798928347287845,66,1,-0.5841681899617223,-1.3152152264140178,0.1643432361386678
86310,54,837,4125,4377,9,2,1,7,0,497,896,831,830,2,1,59,114,60,15,12,11,60,-0.2575735298596024,-0.380396949013869,-0.4084950865064654,-0.1714777365431274,23,1,0.0086810138900216,-1.315725126141735,-0.3572014841529182
